Symbol,Direction,Indicator,IndicatorDisplay,ParamA,ParamB,Length,Factor,ATRStopMult,ATRStopMultValue,MinHoldBars,HTF,FinalEquity,Trades,WinRate,MaxDrawdown,Phase,SlowLength
BTC/EUR,Long,kama,Kaufman AMA,30,30.0,,,None,,24,1h,14076.930281746561,6,0.6666666666666666,1.808330740321253,,30.0
BTC/EUR,Short,kama,Kaufman AMA,10,50.0,,,None,,24,6h,14276.623301406567,27,0.7037037037037037,58.86600592669129,,50.0
ETH/EUR,Long,kama,Kaufman AMA,20,50.0,,,1.5,1.5,12,1h,14093.891563750063,13,0.46153846153846156,67.09251191877229,,50.0
ETH/EUR,Short,kama,Kaufman AMA,10,30.0,,,None,,24,6h,14487.668593165854,33,0.7878787878787878,84.0372915543303,,30.0
XRP/EUR,Long,kama,Kaufman AMA,10,50.0,,,None,,12,12h,14003.766743151553,9,0.4444444444444444,68.08034707855222,,50.0
XRP/EUR,Short,kama,Kaufman AMA,10,40.0,,,None,,24,20h,14337.768862057614,34,0.6176470588235294,128.14659716271308,,40.0
LINK/EUR,Long,kama,Kaufman AMA,20,30.0,,,2.0,2.0,12,12h,14106.197189955523,10,0.6,28.548413736189104,,30.0
LINK/EUR,Short,kama,Kaufman AMA,20,30.0,,,None,,12,6h,14428.34553307112,35,0.6285714285714286,67.49883060480352,,30.0
LUNC/USDT,Long,kama,Kaufman AMA,30,50.0,,,None,,12,8h,14301.345027989011,13,0.6923076923076923,24.00122284477584,,50.0
LUNC/USDT,Short,kama,Kaufman AMA,10,40.0,,,None,,12,6h,14558.65276732982,34,0.7352941176470589,128.07396331647942,,40.0
SOL/EUR,Long,kama,Kaufman AMA,30,50.0,,,1.0,1.0,24,2h,14069.863377364903,11,0.36363636363636365,37.930518324066725,,50.0
SOL/EUR,Short,kama,Kaufman AMA,20,30.0,,,2.0,2.0,12,4h,14280.67361540583,25,0.68,36.280030060226636,,30.0
SUI/EUR,Long,kama,Kaufman AMA,10,30.0,,,1.0,1.0,0,4h,14068.242460294488,23,0.4782608695652174,65.76275591107515,,30.0
SUI/EUR,Short,kama,Kaufman AMA,10,50.0,,,1.5,1.5,12,6h,14599.959700113608,40,0.625,89.43718428314241,,50.0
TNSR/USDC,Long,kama,Kaufman AMA,10,40.0,,,1.5,1.5,12,24h,14569.109698318443,16,0.4375,111.51178536339285,,40.0
TNSR/USDC,Short,kama,Kaufman AMA,30,40.0,,,None,,24,12h,14733.399180841485,32,0.78125,34.79165055586964,,40.0
ZEC/USDC,Long,kama,Kaufman AMA,10,50.0,,,1.5,1.5,24,2h,14476.284517543812,20,0.8,60.38634632306639,,50.0
ZEC/USDC,Short,kama,Kaufman AMA,30,30.0,,,None,,12,2h,14437.648106847375,16,0.8125,35.93308130673904,,30.0
