Phase,PhaseClassifier,PhaseHTF,PhaseLength,PhaseFactor,ParamA,ParamB,ATRStopMult,MinHoldBars,MaxHoldBars,Trades,PnL,WinRate,AvgPnL,Winners,DashTrades,DashPnL,DashWinRate,DashWinners
Down,jma,6h,10,3.0,50,50,1.0,24,24,25,-796.21,0.0,-31.85,0,8,-233.65,0.0,0
Down,jma,6h,10,3.0,50,50,1.0,24,0,25,-806.21,0.0,-32.25,0,8,-242.73,0.0,0
Down,jma,6h,10,3.0,50,50,1.0,24,48,25,-806.21,0.0,-32.25,0,8,-242.73,0.0,0
Down,jma,6h,10,3.0,50,50,1.0,24,60,25,-806.21,0.0,-32.25,0,8,-242.73,0.0,0
Down,jma,6h,10,3.0,20,50,1.0,0,0,50,-815.29,2.0,-16.31,1,7,-156.49,14.29,1
Down,jma,6h,10,3.0,20,50,1.0,0,24,50,-815.29,2.0,-16.31,1,7,-156.49,14.29,1
Down,jma,6h,10,3.0,20,50,1.0,0,48,50,-815.29,2.0,-16.31,1,7,-156.49,14.29,1
Down,jma,6h,10,3.0,20,50,1.0,0,60,50,-815.29,2.0,-16.31,1,7,-156.49,14.29,1
Down,jma,6h,10,3.0,20,-50,1.0,24,0,25,-815.59,0.0,-32.62,0,6,-207.12,0.0,0
Down,jma,6h,10,3.0,20,-50,1.0,24,48,25,-815.59,0.0,-32.62,0,6,-207.12,0.0,0
Down,jma,6h,10,3.0,20,-50,1.0,24,60,25,-815.59,0.0,-32.62,0,6,-207.12,0.0,0
Down,jma,6h,10,3.0,20,-50,1.0,24,24,26,-822.42,0.0,-31.63,0,6,-205.29,0.0,0
Down,jma,6h,10,3.0,30,0,1.0,12,0,26,-823.41,0.0,-31.67,0,5,-174.35,0.0,0
Down,jma,6h,10,3.0,30,0,1.0,12,48,26,-823.41,0.0,-31.67,0,5,-174.35,0.0,0
Down,jma,6h,10,3.0,30,0,1.0,12,60,26,-823.41,0.0,-31.67,0,5,-174.35,0.0,0
Down,jma,6h,10,3.0,30,0,1.0,12,24,26,-823.42,0.0,-31.67,0,5,-174.41,0.0,0
Down,jma,6h,10,3.0,20,50,None,24,0,18,-841.11,16.67,-46.73,3,3,-146.99,33.33,1
