timestamp,open,high,low,close,volume
2025-12-18 01:00:00+01:00,1.5868,1.6041,1.5543,1.6009,1210156.4
2025-12-18 13:00:00+01:00,1.6013,1.6481,1.5353,1.5415,4328548.5
2025-12-19 01:00:00+01:00,1.5415,1.6007,1.5105,1.5961,2132102.0
2025-12-19 13:00:00+01:00,1.597,1.6381,1.5886,1.6294,2325821.1
2025-12-20 01:00:00+01:00,1.6293,1.6727,1.6162,1.6595,1058566.3
2025-12-20 13:00:00+01:00,1.6594,1.6628,1.6361,1.6506,964307.5
2025-12-21 01:00:00+01:00,1.65,1.666,1.6374,1.6508,774858.7
2025-12-21 13:00:00+01:00,1.6514,1.6553,1.6178,1.6404,1225020.9
2025-12-22 01:00:00+01:00,1.6408,1.6627,1.623,1.6482,1356689.0
2025-12-22 13:00:00+01:00,1.6487,1.66,1.6086,1.6182,1657372.4
2025-12-23 01:00:00+01:00,1.617,1.6224,1.5905,1.6144,900027.0
2025-12-23 13:00:00+01:00,1.6138,1.6143,1.5824,1.5874,1440034.8
2025-12-24 01:00:00+01:00,1.5875,1.591,1.5562,1.5843,1165179.7
2025-12-24 13:00:00+01:00,1.5842,1.5925,1.5697,1.5809,1144866.9
2025-12-25 01:00:00+01:00,1.5801,1.5964,1.5722,1.5774,609382.2
2025-12-25 13:00:00+01:00,1.5766,1.603,1.5521,1.5549,956476.6
2025-12-26 01:00:00+01:00,1.5547,1.5967,1.5478,1.5874,1240418.8
2025-12-26 13:00:00+01:00,1.5884,1.5932,1.55,1.566,1128461.1
2025-12-27 01:00:00+01:00,1.5652,1.5756,1.5638,1.5719,320702.2
2025-12-27 13:00:00+01:00,1.5725,1.5938,1.5645,1.589,638431.6
2025-12-28 01:00:00+01:00,1.5894,1.5943,1.5805,1.5868,467778.3
2025-12-28 13:00:00+01:00,1.5876,1.5911,1.5712,1.5826,641315.6
2025-12-29 01:00:00+01:00,1.5832,1.6238,1.5802,1.5878,1489778.0
2025-12-29 13:00:00+01:00,1.5879,1.593,1.566,1.571,1217851.5
2025-12-30 01:00:00+01:00,1.5704,1.5889,1.5646,1.5812,638486.9
2025-12-30 13:00:00+01:00,1.5814,1.6389,1.5749,1.5964,1691744.8
2025-12-31 01:00:00+01:00,1.5954,1.6017,1.5881,1.5961,828907.1
2025-12-31 13:00:00+01:00,1.596,1.598,1.5352,1.5626,1807195.8
2026-01-01 01:00:00+01:00,1.5632,1.5772,1.5492,1.5752,558263.7
2026-01-01 13:00:00+01:00,1.5752,1.5984,1.5716,1.5972,855533.4
2026-01-02 01:00:00+01:00,1.5974,1.6263,1.5866,1.6117,1057792.3
2026-01-02 13:00:00+01:00,1.6113,1.733,1.6091,1.7126,3128740.2
2026-01-03 01:00:00+01:00,1.7127,1.7544,1.6931,1.7063,1461591.8
2026-01-03 13:00:00+01:00,1.706,1.7234,1.7015,1.7233,653214.8
2026-01-04 01:00:00+01:00,1.7227,1.7916,1.7213,1.7898,1627608.2
2026-01-04 13:00:00+01:00,1.7897,1.8115,1.7684,1.7859,1615551.5
2026-01-05 01:00:00+01:00,1.7861,1.8503,1.7827,1.8266,1867112.3
2026-01-05 13:00:00+01:00,1.826,2.0217,1.809,2.0045,4595451.4
2026-01-06 01:00:00+01:00,2.0047,2.062,1.9778,2.0311,3355963.7
2026-01-06 13:00:00+01:00,2.0313,2.0485,1.8828,1.9711,4719592.1
2026-01-07 01:00:00+01:00,1.9712,1.985,1.9104,1.9248,2451570.1
2026-01-07 13:00:00+01:00,1.9252,1.9299,1.8424,1.8536,3221050.7
2026-01-08 01:00:00+01:00,1.8538,1.8766,1.7794,1.7909,1933376.1
2026-01-08 13:00:00+01:00,1.7899,1.8607,1.7704,1.8203,2036702.0
2026-01-09 01:00:00+01:00,1.8208,1.841,1.7782,1.8043,1428608.6
2026-01-09 13:00:00+01:00,1.8035,1.857,1.7833,1.7999,1772415.5
2026-01-10 01:00:00+01:00,1.7993,1.8087,1.7872,1.8061,609908.9
2026-01-10 13:00:00+01:00,1.8073,1.8131,1.79,1.7964,488912.7
2026-01-11 01:00:00+01:00,1.7959,1.8033,1.7926,1.8005,374450.9
2026-01-11 13:00:00+01:00,1.8007,1.8118,1.7557,1.7823,1100752.4
2026-01-12 01:00:00+01:00,1.7824,1.8044,1.7399,1.7527,1336230.2
2026-01-12 13:00:00+01:00,1.7531,1.8038,1.7448,1.7594,1024678.6
2026-01-13 01:00:00+01:00,1.7584,1.7811,1.7545,1.7643,564792.1
2026-01-13 13:00:00+01:00,1.7644,1.8745,1.7607,1.8585,2318714.9
2026-01-14 01:00:00+01:00,1.8586,1.8821,1.8121,1.8148,1569811.8
2026-01-14 13:00:00+01:00,1.8149,1.8673,1.812,1.8371,2774703.0
2026-01-15 01:00:00+01:00,1.8372,1.8412,1.7887,1.8157,866524.3
2026-01-15 13:00:00+01:00,1.8149,1.8383,1.7683,1.7905,1788768.1
2026-01-16 01:00:00+01:00,1.7897,1.7974,1.7709,1.7769,690274.2
2026-01-16 13:00:00+01:00,1.777,1.7924,1.748,1.782,1136046.4
2026-01-17 01:00:00+01:00,1.7825,1.7834,1.7704,1.7778,438196.8
2026-01-17 13:00:00+01:00,1.7774,1.797,1.7748,1.7802,703244.2
2026-01-18 01:00:00+01:00,1.7801,1.784,1.7666,1.7718,412387.6
2026-01-18 13:00:00+01:00,1.7723,1.7816,1.7081,1.7129,1039122.9
2026-01-19 01:00:00+01:00,1.7126,1.7127,1.5924,1.6962,2516096.5
2026-01-19 13:00:00+01:00,1.6965,1.7429,1.6888,1.7071,1232441.3
2026-01-20 01:00:00+01:00,1.7058,1.7097,1.53,1.643,1690640.7
2026-01-20 13:00:00+01:00,1.6429,1.6534,1.594,1.6096,1824115.1
2026-01-21 01:00:00+01:00,1.6096,1.643,1.6092,1.6124,1250760.6
2026-01-21 13:00:00+01:00,1.6118,1.8287,1.5982,1.6676,3569190.5
2026-01-22 01:00:00+01:00,1.6683,1.6829,1.6595,1.6604,777994.5
2026-01-22 13:00:00+01:00,1.6604,1.6646,1.6206,1.6355,1152016.0
2026-01-23 01:00:00+01:00,1.6361,1.638,1.6182,1.6293,731643.7
2026-01-23 13:00:00+01:00,1.629,1.6655,1.6062,1.6219,1526044.2
2026-01-24 01:00:00+01:00,1.6222,1.6283,1.6176,1.6195,316133.7
2026-01-24 13:00:00+01:00,1.6194,1.6256,1.6135,1.6172,403529.5
2026-01-25 01:00:00+01:00,1.6167,1.6188,1.594,1.6066,554623.3
2026-01-25 13:00:00+01:00,1.6059,1.6069,1.4994,1.5462,2113618.5
2026-01-26 01:00:00+01:00,1.5462,1.6,1.5459,1.5942,1282503.1
2026-01-26 13:00:00+01:00,1.5945,1.6371,1.5883,1.602,1793695.2
2026-01-27 01:00:00+01:00,1.6021,1.6125,1.5816,1.5858,707442.7
2026-01-27 13:00:00+01:00,1.5857,1.6066,1.5654,1.5915,1596305.7
2026-01-28 01:00:00+01:00,1.5924,1.621,1.5773,1.621,782322.5
2026-01-28 13:00:00+01:00,1.6204,1.6205,1.5906,1.5935,1386174.7
2026-01-29 01:00:00+01:00,1.5942,1.5957,1.5553,1.5641,1026429.2
2026-01-29 13:00:00+01:00,1.5644,1.5681,1.4849,1.5095,3442015.7
2026-01-30 01:00:00+01:00,1.5091,1.5128,1.4345,1.4794,2834534.1
2026-01-30 13:00:00+01:00,1.4795,1.5002,1.44,1.4625,3428870.3
2026-01-31 01:00:00+01:00,1.4628,1.4786,1.4166,1.4345,1192141.0
2026-01-31 13:00:00+01:00,1.4349,1.4349,1.2691,1.3941,9153459.2
2026-02-01 01:00:00+01:00,1.3926,1.4205,1.3791,1.3943,2073111.3
2026-02-01 13:00:00+01:00,1.3943,1.396,1.311,1.3417,3078769.1
2026-02-02 01:00:00+01:00,1.3422,1.3706,1.2895,1.3658,5162366.8
2026-02-02 13:00:00+01:00,1.3659,1.404,1.3648,1.3725,3402088.0
2026-02-03 01:00:00+01:00,1.3733,1.3769,1.3449,1.3597,2138647.8
2026-02-03 13:00:00+01:00,1.3594,1.3826,1.2928,1.3345,4748687.4
2026-02-04 01:00:00+01:00,1.3353,1.3619,1.3256,1.347,1627659.2
2026-02-04 13:00:00+01:00,1.3469,1.3513,1.2636,1.2783,4650512.6
2026-02-05 01:00:00+01:00,1.2788,1.2812,1.1338,1.1555,4139185.5
2026-02-05 13:00:00+01:00,1.1557,1.18,0.9636,1.0304,12464469.7
2026-02-06 01:00:00+01:00,1.0305,1.1901,0.951,1.1604,9361136.1
2026-02-06 13:00:00+01:00,1.1597,1.3082,1.1512,1.2461,9667591.1
2026-02-07 01:00:00+01:00,1.2462,1.262,1.1743,1.1813,2890341.8
2026-02-07 13:00:00+01:00,1.1801,1.2287,1.18,1.2077,2944487.8
2026-02-08 01:00:00+01:00,1.2071,1.2396,1.1954,1.232,1401231.4
2026-02-08 13:00:00+01:00,1.2322,1.2522,1.1966,1.2109,2290338.4
2026-02-09 01:00:00+01:00,1.2106,1.2304,0.95,1.1735,4414742.1
2026-02-09 13:00:00+01:00,1.1735,1.2306,1.1713,1.2072,2917136.0
2026-02-10 01:00:00+01:00,1.2071,1.2212,1.1757,1.1827,1905907.6
2026-02-10 13:00:00+01:00,1.1831,1.201,1.1698,1.198,1288702.5
