symbol,direction,indicator,htf,param_desc,entry_time,entry_price,exit_time,exit_price,stake,fees,pnl,equity_after,reason,size_units,Zeit,ExitZeit,Entry,ExitPreis
BNB/USDC,Long,jma,12h,"ParamA=20.0, ParamB=50.0, ATR=None",2025-01-15 14:00:00+01:00,699.78,2025-01-17T14:00:00+01:00,720.77,1872.3565626927907,2.8506560438279647,53.31094367454309,18776.87657060245,"Time-based exit (4 bars, optimal=4)",2.675636003733732,2025-01-15T14:00:00+01:00,2025-01-17T14:00:00+01:00,699.78,720.77
SUI/USDC,Long,jma,12h,"ParamA=20.0, ParamB=0.0, ATR=None",2025-01-15 14:00:00+01:00,4.7871,2025-01-17T14:00:00+01:00,4.831,1877.6876570602449,2.8294459570049417,14.38984926242772,18791.266419864878,"Time-based exit (4 bars, optimal=4)",392.23907105768524,2025-01-15T14:00:00+01:00,2025-01-17T14:00:00+01:00,4.7871,4.831
ADA/USDC,Long,jma,12h,"ParamA=20.0, ParamB=-50.0, ATR=None",2025-01-15 23:00:00+01:00,1.0674,2025-01-17T23:00:00+01:00,1.1373,1879.1266419864878,2.9109826500756113,120.14593347776368,18911.412353342643,"Time-based exit (4 bars, optimal=4)",1760.47090311644,2025-01-15T23:00:00+01:00,2025-01-17T23:00:00+01:00,1.0674,1.1373
LINK/USDC,Long,jma,12h,"ParamA=50.0, ParamB=-50.0, ATR=None",2025-01-16 05:00:00+01:00,21.71,2025-01-18T05:00:00+01:00,24.44,1894.9750091219826,3.021180216639089,235.26909039151442,19185.01918161134,"Time-based exit (4 bars, optimal=4)",87.28581340958003,2025-01-16T05:00:00+01:00,2025-01-18T05:00:00+01:00,21.71,24.44
XRP/USDC,Long,jma,12h,"ParamA=30.0, ParamB=-50.0, ATR=None",2025-01-16 05:00:00+01:00,3.075,2025-01-18T17:00:00+01:00,3.142,1891.1412353342644,2.8676158683105175,38.337737877183855,18949.750091219827,"Time-based exit (5 bars, optimal=5)",615.0052797835006,2025-01-16T05:00:00+01:00,2025-01-18T17:00:00+01:00,3.075,3.142
ICP/USDC,Long,jma,12h,"ParamA=20.0, ParamB=50.0, ATR=None",2025-01-16 07:00:00+01:00,10.745,2025-01-18T07:00:00+01:00,10.704,1918.501918161134,2.8722625157727895,-10.192744474321305,19174.82643713702,"Time-based exit (4 bars, optimal=4)",178.54834045240895,2025-01-16T07:00:00+01:00,2025-01-18T07:00:00+01:00,10.745,10.704
TNSR/USDC,Long,jma,12h,"ParamA=30.0, ParamB=50.0, ATR=None",2025-01-16 16:00:00+01:00,0.4016,2025-01-18T16:00:00+01:00,0.413,1917.4826437137021,2.9170468654802946,51.5134863475081,19226.339923484527,"Time-based exit (4 bars, optimal=4)",4774.608176577944,2025-01-16T16:00:00+01:00,2025-01-18T16:00:00+01:00,0.4016,0.413
SOL/USDC,Long,jma,12h,"ParamA=20.0, ParamB=0.0, ATR=None",2025-01-17 02:00:00+01:00,214.47,2025-01-19T02:00:00+01:00,255.36,1922.6339923484527,3.1588723199925646,363.4029029731872,19589.742826457714,"Time-based exit (4 bars, optimal=4)",8.964582423408649,2025-01-17T02:00:00+01:00,2025-01-19T02:00:00+01:00,214.47,255.36
ETH/USDC,Long,jma,12h,"ParamA=30.0, ParamB=0.0, ATR=2.0",2025-01-17 02:00:00+01:00,3385.6,2025-01-18T06:00:00+01:00,3310.7620609365217,1958.9742826457714,2.9059844040922176,-46.208677572678326,19543.534148885035,ATR stop x2.00,0.5786195305546348,2025-01-17T02:00:00+01:00,2025-01-18T06:00:00+01:00,3385.6,3310.7620609365217
SUI/USDC,Long,jma,12h,"ParamA=20.0, ParamB=0.0, ATR=None",2025-01-17 15:00:00+01:00,4.9238,2025-01-19T15:00:00+01:00,4.8923,1954.3534148885035,2.922152893479686,-15.425124697571741,19528.109024187463,"Time-based exit (4 bars, optimal=4)",396.91973981244234,2025-01-17T15:00:00+01:00,2025-01-19T15:00:00+01:00,4.9238,4.8923
LUNC/USDT,Long,jma,12h,"ParamA=20.0, ParamB=0.0, ATR=None",2025-01-17 15:00:00+01:00,0.00010659,2025-01-19T15:00:00+01:00,9.353e-05,1952.8109024187463,2.7497644088941704,-242.0190240541595,19286.090000133303,"Time-based exit (4 bars, optimal=4)",18320770.263802856,2025-01-17T15:00:00+01:00,2025-01-19T15:00:00+01:00,0.00010659,9.353e-05
BNB/USDC,Long,jma,12h,"ParamA=20.0, ParamB=50.0, ATR=None",2025-01-17 17:00:00+01:00,725.26,2025-01-19T17:00:00+01:00,697.56,1928.6090000133304,2.8376686885382143,-76.49741733091383,19209.59258280239,"Time-based exit (4 bars, optimal=4)",2.6591967018908123,2025-01-17T17:00:00+01:00,2025-01-19T17:00:00+01:00,725.26,697.56
BTC/USDC,Long,jma,12h,"ParamA=20.0, ParamB=-50.0, ATR=None",2025-01-18 01:00:00+01:00,104702.01,2025-01-20T13:00:00+01:00,106798.21,1920.959258280239,2.9102829955507117,35.548527844919874,19245.14111064731,"Time-based exit (5 bars, optimal=5)",0.018346918633942548,2025-01-18T01:00:00+01:00,2025-01-20T13:00:00+01:00,104702.01,106798.21
LINK/USDC,Long,jma,12h,"ParamA=50.0, ParamB=-50.0, ATR=None",2025-01-18 09:00:00+01:00,24.46,2025-01-20T09:00:00+01:00,26.06,1924.514111064731,2.9811872309175245,122.90689852965342,19368.048009176964,"Time-based exit (4 bars, optimal=4)",78.68005360035694,2025-01-18T09:00:00+01:00,2025-01-20T09:00:00+01:00,24.46,26.06
ADA/USDC,Long,jma,12h,"ParamA=20.0, ParamB=-50.0, ATR=None",2025-01-18 14:00:00+01:00,1.0945,2025-01-20T14:00:00+01:00,1.064,1936.8048009176964,2.864728069516342,-56.83690388312044,19311.211105293845,"Time-based exit (4 bars, optimal=4)",1769.5795348722672,2025-01-18T14:00:00+01:00,2025-01-20T14:00:00+01:00,1.0945,1.064
TNSR/USDC,Long,jma,12h,"ParamA=30.0, ParamB=50.0, ATR=None",2025-01-18 16:00:00+01:00,0.413,2025-01-20T16:00:00+01:00,0.3879,1931.1211105293846,2.808659014690649,-120.1721938192608,19191.038911474585,"Time-based exit (4 bars, optimal=4)",4675.838040022723,2025-01-18T16:00:00+01:00,2025-01-20T16:00:00+01:00,0.413,0.3879
XRP/USDC,Long,jma,12h,"ParamA=30.0, ParamB=-50.0, ATR=None",2025-01-18 19:00:00+01:00,3.1798,2025-01-21T07:00:00+01:00,3.047,1919.1038911474584,2.818544273868717,-82.96729474382988,19108.071616730755,"Time-based exit (5 bars, optimal=5)",603.5297475147677,2025-01-18T19:00:00+01:00,2025-01-21T07:00:00+01:00,3.1798,3.047
SOL/USDC,Long,jma,12h,"ParamA=20.0, ParamB=0.0, ATR=None",2025-01-19 05:00:00+01:00,273.3,2025-01-21T05:00:00+01:00,238.18,1910.8071616730754,2.682051720780858,-248.22741402578788,18859.844202704968,"Time-based exit (4 bars, optimal=4)",6.991610543992226,2025-01-19T05:00:00+01:00,2025-01-21T05:00:00+01:00,273.3,238.18
ETH/USDC,Long,jma,12h,"ParamA=30.0, ParamB=0.0, ATR=2.0",2025-01-20 03:00:00+01:00,3240.72,2025-01-22T15:00:00+01:00,3293.1,1885.9844202704967,2.851839110950293,27.63146828177997,18887.475670986747,"Time-based exit (5 bars, optimal=5)",0.5819646313999657,2025-01-20T03:00:00+01:00,2025-01-22T15:00:00+01:00,3240.72,3293.1
BNB/USDC,Long,jma,12h,"ParamA=20.0, ParamB=50.0, ATR=None",2025-01-20 03:00:00+01:00,683.17,2025-01-22T03:00:00+01:00,693.44,1888.7475670986746,2.85441631110526,25.538864298557883,18913.014535285303,"Time-based exit (4 bars, optimal=4)",2.764681656247603,2025-01-20T03:00:00+01:00,2025-01-22T03:00:00+01:00,683.17,693.44
SUI/USDC,Long,jma,12h,"ParamA=20.0, ParamB=0.0, ATR=None",2025-01-20 04:00:00+01:00,4.4948,2025-01-22T04:00:00+01:00,4.6643,1891.3014535285304,2.8904432582673025,68.43099404107558,18981.445529326378,"Time-based exit (4 bars, optimal=4)",420.7754412940577,2025-01-20T04:00:00+01:00,2025-01-22T04:00:00+01:00,4.4948,4.6643
LINK/USDC,Long,jma,12h,"ParamA=50.0, ParamB=-50.0, ATR=None",2025-01-20 14:00:00+01:00,26.03,2025-01-22T14:00:00+01:00,25.46,1898.144552932638,2.8160429225077275,-44.38125211081369,18937.064277215566,"Time-based exit (4 bars, optimal=4)",72.92141962860691,2025-01-20T14:00:00+01:00,2025-01-22T14:00:00+01:00,26.03,25.46
BTC/USDC,Long,jma,12h,"ParamA=20.0, ParamB=-50.0, ATR=None",2025-01-21 16:00:00+01:00,103858.01,2025-01-24T04:00:00+01:00,103876.8,1893.7064277215566,2.8408165987282756,-2.4982070708073816,18934.56607014476,"Time-based exit (5 bars, optimal=5)",0.018233609788224872,2025-01-21T16:00:00+01:00,2025-01-24T04:00:00+01:00,103858.01,103876.8
XRP/USDC,Long,jma,12h,"ParamA=30.0, ParamB=-50.0, ATR=None",2025-01-21 16:00:00+01:00,3.119,2025-01-24T04:00:00+01:00,3.1206,1893.456607014476,2.8409133965519855,-1.8695986895231853,18932.696471455238,"Time-based exit (5 bars, optimal=5)",607.0716918930669,2025-01-21T16:00:00+01:00,2025-01-24T04:00:00+01:00,3.119,3.1206
